pid,captureTime,userName,startInstant,totalCpuDuration,command,parentPid,hasChildren
3152,1717529975.87016,DESKTOP-JII336K\claud,1717526569.7999048,0.09375,C:\Users\claud\AppData\Local\Programs\Opera GX\109.0.5097.108\opera_crashreporter.exe --type=crashpad-handler /prefetch:4 --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\claud\AppData\Roaming\Opera Software\Opera GX Stable\Crash Reports --crash-count-file=C:\Users\claud\AppData\Roaming\Opera Software\Opera GX Stable\crash_count.txt --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktopGX --annotation=ver=109.0.5097.108 --initial-client-data=0x1fc,0x200,0x204,0x1f8,0x208,0x7ff8e6e5b350,0x7ff8e6e5b360,0x7ff8e6e5b370,13680,False
3172,1717529975.87016,None,1717525703.390741,1.765625,,808,False
3284,1717529975.87016,None,1717525703.5349028,6.3125,,808,False
3340,1717529975.87016,None,1717525703.5642269,0.0,,808,False
3352,1717529975.87016,None,1717525703.5645523,0.0625,,808,False
3380,1717529975.87016,DESKTOP-JII336K\claud,1717526571.0682569,0.9375,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=878461464 --field-trial-handle=3280,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=3312 /prefetch:1,13680,False
3396,1717529975.87016,None,1717525703.5873413,0.109375,,808,False
3496,1717529975.87016,None,1717525703.6149657,2.5625,,808,False
3504,1717529975.87016,None,1717525703.6160054,6.5,,808,False
3572,1717529975.87016,None,1717525703.641755,0.109375,,808,False
3608,1717529975.87016,DESKTOP-JII336K\claud,1717525734.7781355,0.578125,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.22.11261.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe -Embedding,964,False
3628,1717529975.87016,None,1717525703.662958,0.015625,,808,False
3660,1717529975.87016,None,1717526519.1073976,0.0625,,808,False
3716,1717529975.87016,None,1717525703.6921926,0.0,,808,False
3728,1717529975.87016,DESKTOP-JII336K\claud,1717526570.3010504,1.03125,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=utility --utility-sub-type=storage.mojom.StorageService --lang=es --service-sandbox-type=service --enable-quic --no-appcompat-clear --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --field-trial-handle=2248,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=2340 /prefetch:8,13680,False
3748,1717529975.87016,DESKTOP-JII336K\claud,1717528506.3820488,1.9375,C:\Users\claud\AppData\Local\Programs\Opera GX\opera.exe --type=renderer --no-appcompat-clear --start-stack-profiler --with-feature:address-bar-dropdown-autocompleted-domains=off --with-feature:address-bar-dropdown-unfiltered-full=off --with-feature:amazon-new-ids=on --with-feature:cashback-assistant=off --with-feature:continue-on-booking=on --with-feature:continue-on-shopping-via-amp=off --with-feature:continue-shopping=on --with-feature:continue-shopping-2=on --with-feature:continue-shopping-5=on --with-feature:continue-shopping-structured-partners=on --with-feature:feature-remote-disable-updates-testing-flag=off --with-feature:feature-remote-updates-testing-flag=on --with-feature:game-servers=off --with-feature:gx-post-mortem=on --with-feature:gx-reactinator=on --with-feature:gx-spotlight=on --with-feature:gx-video-to-phone=on --with-feature:logitech-led-support=on --with-feature:lucid-mode-hide-text=on --with-feature:panic-button=on --with-feature:password-generator=off --with-feature:play-again=on --with-feature:run-at-startup-default=on --with-feature:session-restore-attribution=on --with-feature:side-profiles=on --with-feature:sitecheck-age=on --with-feature:tiktok-panel=on --with-feature:ui-compositor-multithreaded=on --with-feature:installer-experiment-test=off --with-feature:installer-bypass-launcher=off --lang=es --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=43 --time-ticks-at-unix-epoch=-1717525692604091 --launch-time-ticks=2813776656 --field-trial-handle=3756,i,17347984907249469272,7737168308851647375,262144 --variations-seed-version --mojo-platform-channel-handle=8236 /prefetch:1,13680,False
3876,1717529975.87016,None,1717525703.7891595,0.8125,,808,False
3916,1717529975.87016,None,1717525703.751522,0.25,,808,False
